 [92985, )
 [92985, )
 [92980, )
 [92979,93349)
 [92974,97028)
 [92973, )
 [92973,95757)
 [92971, )
 [92967, )
 [92963,93594)
 [92961, )
 [92959, )
 [92949, )
 [92947,93083)
 [92944, )
 [92932, )
 [92919,99401)
 [92903, )
 [92903, )
 [92887, )
 [92881, )
 [92880,98908)
 [92877,96799)
 [92876,97465)
 [92871, )
 [92859, )
 [92857, )
 [92856, )
 [92855, )
 [92848, )
 [92847, )
 [92846,93089)
 [92842,99303)
 [92841,99461)
 [92836,94538)
 [92836, )
 [92832, )
 [92832, )
 [92831, )
 [92830, )
 [92819, )
 [92806, )
 [92802, )
 [92801, )
 [92787, )
 [92777, )
 [92768, )
 [92767, )
 [92766, )
 [92761, )
 [92759, )
 [92759, )
 [92756, )
 [92754,97202)
 [92754, )
 [92750, )
 [92749, )
 [92749, )
 [92745, )
 [92738, )
 [92718, )
 [92717, )
 [92714, )
 [92706, )
 [92701, )
 [92694, )
 [92677,98885)
 [92676, )
 [92674, )
 [92672, )
 [92661,99644)
 [92658, )
 [92657,92700)
 [92653, )
 [92647, )
 [92647, )
 [92645, )
 [92642, )
 [92635, )
 [92634, )
 [92633, )
 [92626, )
 [92624, )
 [92623, )
 [92622, )
 [92619, )
 [92614, )
 [92607,99971)
 [92606, )
 [92605, )
 [92597, )
 [92592,94708)
 [92590, )
 [92583, )
 [92575, )
 [92570, )
 [92568, )
 [92568, )
 [92564, )
 [92563, )
 [92557, )
 [92545, )
 [92541, )
 [92537, )
 [92536, )
 [92534, )
 [92531, )
 [92529, )
 [92519, )
 [92515, )
 [92512, )
 [92510, )
 [92508, )
 [92506, )
 [92506, )
 [92470, )
 [92466, )
 [92465, )
 [92463, )
 [92460, )
 [92454, )
 [92430, )
 [92425, )
 [92421, )
 [92407,98982)
 [92405,93228)
 [92399,93410)
 [92398, )
 [92382, )
 [92373, )
 [92373, )
 [92366, )
 [92352, )
 [92346, )
 [92336, )
 [92335, )
 [92334, )
 [92332, )
 [92320, )
 [92319, )
 [92313, )
 [92312,96053)
 [92305, )
 [92302, )
 [92300,93704)
 [92293,99218)
 [92287, )
 [92282, )
 [92280, )
 [92277, )
 [92272, )
 [92266, )
 [92247, )
 [92226, )
 [92216,96346)
 [92211, )
 [92206, )
 [92206, )
 [92202,97813)
 [92202, )
 [92199,94398)
 [92191, )
 [92189, )
 [92181, )
 [92178, )
 [92165, )
 [92162, )
 [92161, )
 [92155, )
 [92155,98991)
 [92153,95026)
 [92153,94767)
 [92148, )
 [92147,95242)
 [92140, )
 [92137, )
 [92130, )
 [92129, )
 [92127, )
 [92124, )
 [92105, )
 [92105, )
 [92100, )
 [92094, )
 [92093,93424)
 [92092, )
 [92085,96451)
 [92082, )
 [92080,99161)
 [92076, )
 [92074, )
 [92068, )
 [92066, )
 [92057,95895)
 [92050, )
 [92048,93008)
 [92045, )
 [92045, )
 [92037, )
 [92034, )
 [92032, )
 [92030, )
 [92026, )
 [92022, )
 [92020, )
 [92020, )
 [92015, )
 [92012, )
 [92001, )
 [91989, )
 [91987, )
 [91981, )
 [91950, )
